age,income,credit_score,loan_amount,loan_purpose,employment_years,debt_ratio,num_credit_lines,marital_status,education,loan_approved
56,90285,676,25997,Education,35,0.71,4,Married,Bachelor,Rejected
69,110476,785,51456,Home,40,0.36,5,Single,Bachelor,Approved
46,83729,847,135865,Auto,25,0.17,7,Single,Bachelor,Approved
32,53107,726,82988,Auto,10,0.1,4,Single,Bachelor,Rejected
60,76567,794,85908,Business,40,0.29,11,Married,High School,Approved
25,43994,804,82952,Business,5,0.18,7,Married,Bachelor,Approved
38,81967,733,89784,Education,18,0.43,9,Married,Master,Rejected
56,112124,736,63676,Home,37,0.43,3,Divorced,Bachelor,Approved
36,110607,738,13373,Business,18,0.33,5,Married,PhD,Approved
40,86999,670,99951,Auto,21,0.45,4,Divorced,Master,Rejected
28,64888,753,31414,Home,6,0.36,9,Married,Master,Approved
28,84913,674,122139,Business,10,0.63,5,Single,Master,Rejected
41,94173,657,88872,Home,21,0.44,10,Divorced,Master,Approved
70,107534,797,140772,Education,40,0.48,2,Married,Bachelor,Rejected
53,70966,806,149973,Auto,32,0.13,10,Single,High School,Approved
57,97765,814,95374,Home,36,0.17,1,Single,Bachelor,Approved
41,73542,827,34493,Auto,19,0.42,7,Single,Bachelor,Approved
20,29088,850,130074,Business,0,0.12,11,Married,High School,Approved
39,67340,709,56224,Personal,20,0.26,1,Divorced,High School,Approved
70,142653,682,36852,Home,40,0.53,8,Divorced,PhD,Approved
19,50810,700,15932,Auto,0,0.25,9,Divorced,Master,Approved
41,87997,850,93545,Home,22,0.17,7,Single,Master,Approved
61,96626,726,38583,Business,39,0.45,9,Single,Bachelor,Approved
47,87385,598,34865,Business,29,0.66,10,Single,High School,Rejected
55,102034,850,148361,Auto,33,0.23,6,Divorced,High School,Approved
19,25363,698,75270,Education,0,0.53,7,Single,High School,Rejected
38,56829,850,90549,Home,19,0.21,3,Married,High School,Approved
50,86423,804,142577,Home,32,0.33,14,Married,High School,Rejected
29,67927,740,135768,Business,10,0.34,14,Married,Master,Rejected
39,82149,801,49327,Home,19,0.23,9,Single,Bachelor,Approved
61,89791,724,118209,Auto,40,0.48,3,Divorced,High School,Rejected
42,47062,850,119889,Personal,23,0.12,6,Divorced,High School,Approved
66,91995,850,23409,Business,40,0.38,4,Single,Bachelor,Approved
44,65621,633,49533,Personal,26,0.51,9,Married,High School,Approved
59,132229,794,20327,Home,40,0.47,1,Divorced,Master,Approved
45,76574,686,60344,Education,27,0.42,9,Single,Bachelor,Approved
33,57658,793,8671,Auto,12,0.59,12,Married,Bachelor,Rejected
32,50111,828,96908,Home,12,0.32,4,Single,High School,Rejected
64,73312,802,55756,Auto,40,0.12,10,Married,High School,Approved
68,107985,802,29544,Home,40,0.37,5,Single,Bachelor,Approved
61,89562,841,81347,Home,40,0.33,11,Married,Bachelor,Approved
72,110671,850,23733,Home,40,0.05,13,Single,Bachelor,Approved
69,81912,780,53093,Business,40,0.18,1,Married,High School,Approved
74,95579,850,110424,Personal,40,0.16,14,Divorced,Bachelor,Approved
20,47727,753,100595,Education,0,0.23,1,Married,Bachelor,Approved
54,121939,746,42487,Personal,36,0.3,6,Married,Master,Approved
68,93762,850,125931,Personal,40,0.3,10,Married,High School,Rejected
24,36576,701,45849,Auto,3,0.23,13,Single,High School,Rejected
38,75718,803,81400,Business,19,0.16,1,Single,Bachelor,Approved
26,59323,726,134120,Business,7,0.41,13,Divorced,Bachelor,Rejected
56,106480,789,95930,Home,38,0.37,2,Single,Bachelor,Approved
35,66557,797,54699,Personal,17,0.37,13,Single,Bachelor,Approved
21,56045,634,95470,Education,3,0.62,14,Married,Bachelor,Rejected
42,88018,620,149779,Auto,24,0.37,3,Single,Master,Rejected
31,69413,738,137996,Business,9,0.3,7,Single,Bachelor,Rejected
67,127824,836,100023,Home,40,0.33,2,Divorced,Master,Approved
26,72809,722,34018,Education,4,0.36,5,Divorced,Bachelor,Rejected
43,96638,724,26031,Personal,21,0.44,9,Married,Master,Approved
70,129090,828,109985,Education,40,0.34,12,Divorced,Master,Approved
19,20000,843,73237,Business,0,0.06,12,Married,High School,Rejected
37,93416,680,113426,Auto,16,0.28,10,Married,Master,Rejected
45,80764,761,21719,Personal,26,0.35,8,Single,High School,Approved
64,135047,722,14718,Auto,40,0.55,12,Single,Master,Approved
24,50704,770,5056,Education,3,0.23,8,Married,Bachelor,Approved
61,86581,761,126743,Education,40,0.1,11,Divorced,High School,Approved
25,43104,795,52820,Home,6,0.36,2,Married,Bachelor,Rejected
64,125019,752,73683,Personal,40,0.48,1,Single,PhD,Approved
52,74743,811,74073,Education,30,0.29,9,Single,High School,Approved
31,46985,722,5721,Business,13,0.71,10,Married,Bachelor,Rejected
34,58317,671,45194,Business,14,0.67,12,Single,Bachelor,Rejected
53,107395,700,84882,Auto,31,0.34,4,Married,Master,Approved
67,105672,782,146983,Business,40,0.38,9,Single,Bachelor,Rejected
57,78806,752,78072,Education,39,0.56,11,Single,High School,Rejected
21,22161,733,128919,Business,3,0.34,14,Married,High School,Rejected
19,34154,845,90968,Personal,0,0.23,12,Married,Bachelor,Approved
23,50291,646,112251,Auto,5,0.48,11,Single,Bachelor,Rejected
71,141297,842,49537,Personal,40,0.42,7,Single,Master,Approved
59,100603,850,114254,Education,40,0.23,12,Married,High School,Approved
21,47141,718,77941,Education,0,0.39,6,Single,Bachelor,Rejected
71,95538,825,22645,Business,40,0.33,10,Married,High School,Approved
46,77658,732,117661,Home,25,0.29,13,Divorced,High School,Rejected
35,71256,767,76473,Home,13,0.23,9,Single,Bachelor,Approved
43,79417,782,55734,Education,25,0.37,10,Divorced,Bachelor,Approved
61,96544,791,132705,Education,40,0.31,4,Single,Bachelor,Rejected
51,108247,761,65914,Auto,33,0.39,14,Married,Master,Rejected
27,68542,748,22882,Education,9,0.47,1,Single,Bachelor,Approved
53,121796,668,95860,Education,33,0.38,5,Divorced,PhD,Approved
31,63953,748,149051,Auto,10,0.39,13,Single,Master,Approved
48,71265,850,105513,Personal,29,0.27,6,Single,Bachelor,Approved
65,118789,720,123751,Personal,40,0.53,6,Divorced,Master,Rejected
32,52743,718,49828,Auto,12,0.22,12,Married,Bachelor,Approved
25,34634,785,143300,Auto,6,0.11,1,Married,High School,Approved
31,77562,713,125354,Personal,12,0.19,7,Single,Bachelor,Rejected
40,62461,719,79217,Personal,22,0.51,8,Married,High School,Rejected
74,97495,781,111500,Personal,40,0.42,12,Single,Bachelor,Rejected
57,100587,737,78803,Personal,35,0.55,5,Single,Bachelor,Approved
38,77709,804,75908,Business,19,0.15,2,Married,High School,Approved
33,49793,649,43918,Auto,14,0.7,2,Single,High School,Rejected
62,96444,823,146992,Home,40,0.31,11,Divorced,Master,Rejected
35,71000,766,32785,Business,13,0.09,5,Divorced,Bachelor,Approved
64,93464,709,87757,Home,40,0.68,7,Married,High School,Rejected
70,105901,850,104490,Home,40,0.15,7,Married,Bachelor,Approved
41,77308,726,76997,Education,23,0.29,13,Married,Bachelor,Approved
43,69927,784,114768,Auto,22,0.32,4,Single,Bachelor,Rejected
42,120149,802,19052,Business,20,0.42,11,Married,PhD,Approved
62,86616,765,54383,Auto,40,0.23,14,Single,Bachelor,Approved
58,80910,775,136399,Personal,36,0.51,3,Single,High School,Rejected
46,94176,718,93301,Auto,25,0.46,9,Married,Master,Approved
32,85034,792,75775,Home,11,0.35,12,Married,Master,Approved
62,102356,687,80614,Personal,40,0.55,14,Divorced,High School,Approved
18,27732,724,143110,Auto,0,0.34,14,Single,High School,Rejected
42,63429,694,13048,Auto,21,0.31,7,Married,High School,Approved
24,53779,662,19954,Home,4,0.65,2,Single,Bachelor,Rejected
26,64533,743,117010,Personal,6,0.39,1,Married,Bachelor,Rejected
41,83827,827,18225,Home,19,0.2,11,Married,Bachelor,Approved
18,54615,784,110622,Auto,0,0.22,2,Married,Master,Rejected
61,109379,781,149603,Business,40,0.35,13,Single,Bachelor,Rejected
25,38332,748,14530,Business,3,0.05,12,Single,High School,Approved
